,Open
138,2052.22998
139,2041.880005
140,2044.209961
141,2044.380005
142,2065.040039
143,2046.530029
144,2062.5
145,2067.169922
146,2083.290039
147,2062.629883
148,2057.550049
149,2047.77002
150,2052.949951
151,2060.300049
152,2077.179932
153,2067.169922
154,2071.820068
155,2090.929932
156,2092.330078
157,2089.840088
158,2089.370117
159,2091.48999
160,2102.090088
161,2101.52002
162,2096.050049
163,2078.830078
164,2083.100098
165,2082.889893
166,2065.919922
167,2043.719971
168,2050.22998
169,2045.540039
170,2063.01001
171,2045.560059
172,2062.5
173,2073.189941
174,2056.620117
175,2063.77002
176,2058.27002
177,2035.75
178,2037.890015
179,2032.47998
180,2048.550049
181,2048.639893
182,2047.880005
183,2041.160034
184,2026.900024
185,2014.23999
186,2015.27002
187,2019.27002
188,1994.709961
189,1990.969971
190,1981.439941
191,1996.880005
192,1996.109985
193,1994.01001
194,1985.599976
195,1976.599976
196,1937.089966
197,1947.130005
198,1954.949951
199,1931.869995
200,1917.560059
201,1942.380005
202,1924.439941
203,1916.73999
204,1927.569946
205,1898.800049
206,1871.439941
207,1833.400024
208,1847
209,1857.099976
210,1848.459961
211,1873.25
212,1913.069946
213,1911.670044
214,1907.069946
215,1935.26001
216,1936.939941
217,1894
218,1885.219971
219,1902.52002
220,1878.790039
221,1906.280029
222,1877.400024
223,1861.459961
224,1876.180054
225,1888.660034
226,1916.680054
227,1891.680054
228,1940.339966
229,1927.829956
230,1926.119995
231,1945.969971
232,1985.319946
233,2011.709961
234,2013.780029
235,2038.199951
236,2060.590088
237,2077.340088
238,2060.540039
239,2057.77002
240,2063.52002
241,2042.199951
242,2023.150024
243,2010.27002
244,2040.810059
245,2073.76001
246,2046.5
247,2025.550049
248,2013.369995
249,2047.27002
250,2047.930054
251,2061.169922
252,2073.389893
253,2090.419922
254,2051.23999
255,2080.709961
256,2101.709961
257,2082.929932
258,2090.949951
259,2088.820068
260,2089.300049
261,2084.419922
262,2089.409912
263,2082.820068
264,2083.699951
265,2051.98999
266,2053.669922
267,2022.079956
268,2044.640015
269,2072.290039
270,2083.409912
271,2077.189941
272,2096.560059
273,2098.600098
274,2101.679932
275,2110.600098
276,2102.629883
277,2080.76001
278,2090
279,2088.350098
280,2066.47998
281,2068.75
282,2075.080078
283,2058.189941
284,2021.880005
285,2033.469971
286,2033.130005
287,2031.72998
288,2024.369995
289,1996.469971
290,2003.660034
291,2015
292,2015.650024
293,2013.72998
294,1994.01001
295,1982.339966
296,1986.630005
297,1954.329956
298,1921.77002
299,1919.650024
300,1887.140015
301,1881.900024
302,1929.180054
303,1935.930054
304,1934.810059
305,1943.23999
306,1961.390015
307,1960.839966
308,1989.660034
309,1995.329956
310,1978.02002
311,1955.099976
312,1963.060059
313,1951.449951
314,1941.589966
315,1971.449951
316,1927.300049
317,1947.76001
318,1950.790039
319,1916.52002
320,1970.089966
321,1986.72998
322,1986.060059
323,1942.77002
324,1872.75
325,1898.079956
326,1965.150024
327,2034.079956
328,2076.610107
329,2095.689941
330,2101.98999
331,2089.699951
332,2083.149902
333,2086.189941
334,2081.100098
335,2102.659912
336,2080.97998
337,2082.610107
338,2100.75
339,2095.27002
340,2097.679932
341,2104.48999
342,2111.600098
343,2106.780029
344,2094.699951
345,2070.75
346,2078.189941
347,2102.23999
348,2114.159912
349,2118.209961
350,2127.550049
351,2126.850098
352,2126.800049
353,2110.550049
354,2109.01001
355,2099.719971
356,2080.030029
357,2052.73999
358,2049.72998
359,2077.659912
360,2069.52002
361,2073.949951
362,2078.030029
363,2067
364,2061.189941
365,2098.629883
366,2102.620117
367,2109.959961
368,2123.649902
369,2123.159912
370,2112.5
371,2121.060059
372,2101.580078
373,2097.399902
374,2084.26001
375,2091.340088
376,2107.429932
377,2106.23999
378,2081.120117
379,2079.070068
380,2092.340088
381,2095.090088
382,2112.350098
383,2110.639893
384,2110.409912
385,2108.639893
386,2120.659912
387,2122.27002
388,2105.129883
389,2125.340088
390,2130.360107
391,2125.550049
392,2127.790039
393,2129.449951
394,2121.300049
395,2122.070068
396,2100.429932
397,2099.620117
398,2102.870117
399,2115.560059
400,2092.129883
401,2079.959961
402,2091.26001
403,2112.629883
404,2110.22998
405,2087.379883
406,2105.52002
407,2112.48999
408,2108.350098
409,2119.290039
410,2112.800049
